key,IsWinner,MMR,InGameLevel,Takedowns,KillingBlows,Assists,Deaths,HighestKillStreak,HeroDamage,SiegeDamage,Healing,SelfHealing,DamageTaken,ExperienceContribution,MercCampCaptures,date
118854582,0,11681,85,24,6,18,28,15,170306,231727,40586,20701,60574,39046,4,7/14/2017
119761833,1,9190,110,71,23,46,18,58,193463,437533,14124,63162,145734,73304,6,7/14/2017
119761833,0,9331,105,54,18,36,26,28,202274,419652,0,51243,86069,65133,2,7/14/2017
117363419,1,9652,105,80,20,60,8,58,201000,445134,86698,46600,64740,66361,4,7/14/2017
117363419,0,11314,95,29,8,21,20,17,205310,334802,54488,33244,86911,45559,2,7/14/2017
117569822,1,13131,105,132,31,101,12,94,234957,200314,114604,54284,163064,61972,11,7/14/2017
117569822,0,12914,95,42,12,30,32,18,223768,268147,79158,23037,88372,46065,3,7/14/2017
117727975,1,8312,85,80,27,53,11,57,87662,208432,0,5686,60154,41708,15,7/14/2017
117727975,0,8105,75,31,10,21,28,12,100628,225596,0,5740,44565,31928,4,7/14/2017
120543581,1,10747,130,172,57,115,36,42,361046,588838,65881,27597,78910,122137,21,7/14/2017
120543581,0,11106,125,117,36,81,58,26,296439,518871,0,113872,237114,105396,13,7/14/2017
117516631,1,12896,100,57,14,43,7,51,208514,338453,66804,19336,63522,53933,11,7/14/2017
117516631,0,13017,95,20,7,13,14,18,146375,402733,66362,33325,74177,48179,5,7/14/2017
117432717,1,12764,105,127,31,96,20,54,215651,337764,116228,67136,188475,67673,23,7/14/2017
117432717,0,12891,100,82,20,62,31,28,267620,325088,54428,32551,178491,61229,8,7/14/2017
117973881,1,12498,90,93,23,70,5,75,151455,146996,38263,0,31525,38225,12,7/14/2017
117973881,0,11523,70,16,5,11,23,8,114155,125884,23395,22046,84187,22623,2,7/14/2017
118218101,1,11247,105,70,22,48,11,40,121551,298273,44852,5385,0,63662,23,7/14/2017
118218101,0,11449,100,34,9,23,23,25,125338,350679,40351,0,0,54916,2,7/14/2017
